split_type,epoch,train_mse,val_mse,train_r2,val_r2
random,1,13.747132892421462,13.199106455140596,-7.097808467709516,-6.525914805729408
random,2,5.175854619853804,4.722722844955493,-2.0488596928739558,-1.6928193891764818
random,3,2.2165597576894918,2.259113367576298,-0.30567417333233315,-0.2881095245839185
random,4,1.5091735081625157,1.5993434778587226,0.11101477600623877,0.0880804848137342
random,5,1.374058223582958,1.4425685741301837,0.19060502250691103,0.17747097296135372
random,6,1.3235504467473334,1.3860028833500946,0.2203568482981768,0.20972380546823788
random,7,1.2942419303494164,1.3564089725601172,0.23762115745415313,0.22659776978776835
random,8,1.2747995479118535,1.3386042797378173,0.24907377745625825,0.2367497146772366
random,9,1.2610765560513943,1.3292078014041075,0.25715736554401125,0.24210743306929017
random,10,1.2496200406731233,1.3225283009991509,0.26390587579459246,0.24591597504623308
random,11,1.239600023439984,1.3170468595857856,0.2698082105601086,0.24904140336441416
random,12,1.2303039045483997,1.3123183170558517,0.27528412985660455,0.25173754104286217
random,13,1.222017697751286,1.3085373611709337,0.28016515603798753,0.25389338030143793
random,14,1.214927100055676,1.3059375624596212,0.28434190347397736,0.25537574304166444
random,15,1.2080031336790544,1.3030415388417391,0.28842049600621744,0.25702700838281733
random,16,1.2020530786902137,1.3014777253906842,0.2919254017963211,0.25791866925733886
random,17,1.1958798096247787,1.2981100860635715,0.29556179280983097,0.2598388421689227
random,18,1.1904526652660126,1.2964619974432572,0.29875867581720517,0.26077855536776195
random,19,1.1851947995591592,1.2934861747658046,0.30185584449784764,0.2624753208286347
random,20,1.180217518643879,1.2914390104988902,0.30478773348570665,0.2636425804396162
random,21,1.1758540152041623,1.2897311985538387,0.30735807417998307,0.26461634690224367
random,22,1.1719363332253114,1.287750310307678,0.30966580180220027,0.26574581700925004
random,23,1.1681089429875269,1.285745073553417,0.3119203426813276,0.26688917023768066
random,24,1.1640101528818492,1.2841897356075003,0.3143347528339654,0.267775998517676
random,25,1.1601185070236693,1.2820957550340837,0.31662714376597334,0.26896995202157015
random,26,1.1564380043765503,1.2807571947261427,0.3187951598704585,0.2697331772348929
random,27,1.152841474838418,1.2788676987246397,0.32091371124958357,0.27081053697749413
random,28,1.1491748528483048,1.2755387273053398,0.3230735508926409,0.27270866207994016
random,29,1.1456729891599848,1.273855418789436,0.32513633894088,0.2736684570876936
random,30,1.142498371859271,1.272537241954255,0.3270063610800876,0.27442005997794794
random,31,1.1394776839116272,1.2705116498591953,0.32878571046385796,0.2755750194890625
random,32,1.1363165556817845,1.2686270993674842,0.3306477868071548,0.27664955938279834
random,33,1.1333487854763915,1.2668229312688295,0.33239596476451605,0.27767826654959304
random,34,1.1304724566718065,1.264753840052918,0.3340902787667125,0.27885802854857056
random,35,1.1279508076845604,1.26341977228714,0.33557566707868325,0.27961869218776736
random,36,1.1253972382511501,1.2623150005029642,0.3370798582684078,0.28024861500532616
random,37,1.1229119450351535,1.2609874470330578,0.3385438310550778,0.28100556429947143
random,38,1.120657976179784,1.2600788010778268,0.3398715412202299,0.28152365937438284
random,39,1.1185306252077416,1.2586087502280616,0.3411246665700758,0.2823618583458831
random,40,1.1162010165048941,1.258103072512817,0.34249693271662385,0.2826501875155145
random,41,1.1143388097083975,1.2566315188822959,0.3435938737357661,0.28348924334804404
random,42,1.1123387464857601,1.2548841325948332,0.34477201968277704,0.2844855744540047
random,43,1.110353188589566,1.2544935589840192,0.345941621204109,0.28470827314427927
