split_type,epoch,train_mse,val_mse,train_r2,val_r2
scaffold,1,12.576641906181255,13.958740346823467,-6.3155918145812455,-7.507312096551159
scaffold,2,4.943630845058189,12.482717452015766,-1.875615415800631,-6.607733258075125
scaffold,3,2.285982990691789,4.353390099566883,-0.3297125400984433,-1.6532228077069613
scaffold,4,1.5256808935493062,1.923344622603856,0.11254063367847877,-0.17220412208884972
scaffold,5,1.3836552581733927,1.671661997061623,0.19515422666835947,-0.018813300885241357
scaffold,6,1.3230830592178733,1.5831934096367306,0.230387915134308,0.035104879786115206
scaffold,7,1.2883706696246617,1.5374116951910124,0.2505794475852593,0.06300706318001592
scaffold,8,1.2650038843745524,1.5050982700952196,0.26417145920362006,0.08270084538157363
scaffold,9,1.248573613652522,1.4833046689175322,0.273728633121911,0.09598320197820909
scaffold,10,1.2349871942836694,1.4690583768873244,0.2816315931541431,0.1046657656987362
scaffold,11,1.2226457422133528,1.4553301135519716,0.2888103795439567,0.11303261097529171
scaffold,12,1.2132092866821995,1.448371956087326,0.2942993850636604,0.1172733386984175
scaffold,13,1.204658257737233,1.4451781533194883,0.29927335488984275,0.11921983789861268
scaffold,14,1.196421551849873,1.4423350701412878,0.3040644890111909,0.12095258708030443
scaffold,15,1.1896825732490932,1.4445771243965442,0.3079844238442144,0.11958614176984295
scaffold,16,1.1827490364220443,1.4422287027796914,0.31201752947260375,0.12101741387122555
scaffold,17,1.176620271694725,1.4437302986264897,0.31558251457809805,0.12010224930807756
scaffold,18,1.170551050794394,1.4439354498727401,0.3191128641794114,0.11997721756198265
scaffold,19,1.1648311228510975,1.4428532995623222,0.32244003675489896,0.12063674630149379
scaffold,20,1.160616577103504,1.4469827652151377,0.3248915573279797,0.11811999677914287
scaffold,21,1.1556946312417522,1.4450488258666159,0.3277545590041542,0.11929865797670713
scaffold,22,1.1506501891949479,1.4427235627427377,0.33068881436596054,0.1207158158727587
scaffold,23,1.1459411560637596,1.4433376132566726,0.3334279687830217,0.12034157584570049
scaffold,24,1.1413249489744617,1.4430711902038067,0.33611312806868776,0.12050395038696504
scaffold,25,1.1369968322022106,1.4458521323562485,0.33863071073247275,0.11880907375587557
scaffold,26,1.1328051998478912,1.448360868759788,0.34106890302336723,0.1172800959955187
scaffold,27,1.12898667438246,1.4529684425906486,0.3432900661801992,0.11447195803943488
scaffold,28,1.1253737718720098,1.4559250423130412,0.3453916224008099,0.11267002491667333
scaffold,29,1.121527840389505,1.4571169747933936,0.3476287271130801,0.11194358819269756
scaffold,30,1.118121562342101,1.4619080230392678,0.34961009383940234,0.10902362968035506
scaffold,31,1.115355275032501,1.4645991692310891,0.35121919020629033,0.10738348021253585
scaffold,32,1.112798959444596,1.472556208071123,0.35270615004261796,0.1025339729436402
scaffold,33,1.109385654532199,1.4714040014476955,0.3546916041617758,0.1032361982950446
scaffold,34,1.1069479548299017,1.474857717773991,0.3561095674083694,0.10113129183853642
scaffold,35,1.1045079440885193,1.478962761521328,0.35752887494215346,0.09862942652254902
scaffold,36,1.102184827074589,1.4810204522197428,0.35888018763263163,0.0973753436658843
scaffold,37,1.0997448151671332,1.4839719370679427,0.36029949584469834,0.09557652786101889
scaffold,38,1.0973442577672312,1.4850054365036494,0.361695854125085,0.09494664994705893
scaffold,39,1.095721567249247,1.4897117951201322,0.36263974213267225,0.09207830648669624
scaffold,40,1.0928586418078166,1.487615270192553,0.36430505105069044,0.09335605730331442
