config_id,epoch,train_mse,val_mse,val_r2
8,1,9.591987820625306,1.633810564994812,0.06842797994613647
8,2,1.670585371017456,1.5068309297561646,0.14082962274551392
8,3,1.5470472917556763,1.3728057556152344,0.21724867820739746
8,4,1.503113953590393,1.3155817699432373,0.24987679719924927
8,5,1.4114626755714417,1.2912180528640747,0.26376861333847046
8,6,1.4346461420059204,1.315917776107788,0.24968522787094116
8,7,1.3438530673980713,1.274760051727295,0.2731527090072632
8,8,1.3388200702667237,1.2474797134399414,0.288707435131073
8,9,1.3046015477180481,1.2706500854492186,0.27549606561660767
8,10,1.3231929326057434,1.1830392627716064,0.3254503607749939
8,11,1.2859096035957336,1.1723518447875976,0.3315441608428955
8,12,1.335864577293396,1.2533859243392944,0.2853398323059082
8,13,1.2566530437469483,1.1667354974746704,0.33474642038345337
8,14,1.2562255239486695,1.3588630599975586,0.22519850730895996
8,15,1.280874523639679,1.4400355348587035,0.17891532182693481
8,16,1.2543895263671876,1.1965358858108521,0.3177548050880432
8,17,1.2562464118003844,1.1627450923919678,0.33702176809310913
8,18,1.2419170665740966,1.1252431211471559,0.3584047555923462
8,19,1.2651785707473755,1.118579167366028,0.3622044324874878
8,20,1.2359803466796875,1.1142376117706299,0.3646799921989441
8,21,1.232912471294403,1.2618325710296632,0.28052371740341187
8,22,1.1838278346061706,1.1191161603927613,0.3618982434272766
8,23,1.2535646352767944,1.1657446308135986,0.3353114724159241
8,24,1.2091968908309936,1.0956393909454345,0.3752843141555786
8,25,1.2052545461654662,1.0908337993621826,0.3780243992805481
8,26,1.1948856081962584,1.0888802213668822,0.3791382908821106
8,27,1.2162036056518555,1.2145969667434693,0.30745673179626465
8,28,1.1999331550598145,1.0947539386749268,0.37578922510147095
8,29,1.1705556869506837,1.0875325031280518,0.3799067735671997
8,30,1.1819368720054626,1.1008616132736206,0.372306764125824
8,31,1.1771377296447754,1.078963803291321,0.3847924470901489
8,32,1.1616126704216003,1.0705151491165161,0.38960975408554077
8,33,1.1824521765708924,1.0765803270339966,0.3861514925956726
8,34,1.221278542995453,1.0579677534103393,0.3967640995979309
8,35,1.1920251212120057,1.077047727584839,0.38588500022888184
8,36,1.1745086030960084,1.1094583730697631,0.3674049377441406
8,37,1.1380510563850403,1.1490959243774415,0.3448042869567871
8,38,1.120978549003601,1.0338110876083375,0.4105377793312073
8,39,1.139129660129547,1.0906883983612061,0.3781072497367859
8,40,1.143260977268219,1.115947889328003,0.3637048006057739
8,41,1.1072033767700196,1.2019723949432373,0.31465500593185425
8,42,1.1102337474822999,1.026273814201355,0.41483545303344727
8,43,1.126382900238037,1.0387792644500733,0.40770500898361206
8,44,1.077756886959076,1.0558743629455567,0.3979577422142029
8,45,1.1471370587348937,1.0437829399108887,0.404852032661438
8,46,1.1045921659469604,1.051416597366333,0.40049946308135986
8,47,1.0717554326057435,1.0138302536010741,0.42193055152893066
8,48,1.0564909434318543,1.008357850074768,0.42505091428756714
8,49,1.0699138298034667,1.0060976467132567,0.4263395667076111
8,50,1.0940547914505006,0.9958498287200928,0.4321827292442322
8,51,1.0556251173019409,1.0022390384674071,0.4285396337509155
8,52,1.0453096351623534,1.0101995124816894,0.4240007996559143
8,53,1.0863374519348143,1.207575008392334,0.3114604949951172
8,54,1.101607259273529,0.9975245962142945,0.43122780323028564
8,55,1.053293710231781,1.0180453968048095,0.41952717304229736
8,56,1.065711440563202,0.9946887216567993,0.43284475803375244
8,57,1.039834771156311,1.0166528911590575,0.42032116651535034
8,58,1.0217601265907288,1.0077068395614623,0.4254220724105835
8,59,1.032882462978363,1.2537516613006592,0.2851312756538391
8,60,1.0374686288833619,1.0918161897659302,0.37746429443359375
8,61,1.066834023475647,0.9933146820068359,0.4336282014846802
8,62,1.0332716627120972,1.026944345474243,0.4144531488418579
8,63,1.0265685477256774,1.057885971069336,0.39681071043014526
8,64,1.0274537591934203,1.1290027465820311,0.35626107454299927
8,65,1.0013051824569703,1.0802445278167725,0.3840622305870056
8,66,0.9986890959739685,0.9702779846191406,0.4467633366584778
8,67,1.03846426820755,0.9826437835693359,0.43971264362335205
8,68,0.9901686811447143,0.9684556789398193,0.44780242443084717
8,69,1.0144694285392761,0.9481558532714843,0.4593770503997803
8,70,1.004906400203705,0.938180269241333,0.4650649428367615
8,71,0.9887545232772827,1.0164744958877563,0.42042285203933716
8,72,1.0261776103973388,0.970582573890686,0.44658970832824707
8,73,0.9795138616561889,0.9846658916473389,0.4385596513748169
8,74,0.9918366758823395,1.0361599435806275,0.4091985821723938
8,75,0.976220591545105,1.047774956703186,0.40257591009140015
8,76,1.0393514959812165,0.9788556671142579,0.4418724775314331
8,77,1.0066523494720458,0.9533768272399903,0.45640015602111816
8,78,1.0055280456542968,1.0974394569396972,0.37425798177719116
8,79,0.9674043231010437,0.9723062839508056,0.44560688734054565
8,80,0.9627439022064209,0.9548275060653687,0.4555729627609253
