config_id,epoch,train_mse,val_mse,val_r2
1,1,14.99423578262329,1.7494649181365967,0.002483665943145752
1,2,1.6370539922714233,1.6263662023544312,0.07267260551452637
1,3,1.5042396349906921,1.5583360271453857,0.11146235466003418
1,4,1.4663534116744996,1.4977223749160766,0.14602315425872803
1,5,1.4431591062545777,1.4842100429534912,0.15372776985168457
1,6,1.4026915807723999,1.4221971464157104,0.1890864372253418
1,7,1.3835817523002625,1.3948076610565185,0.2047034502029419
1,8,1.3494494333267213,1.3736610479354858,0.21676093339920044
1,9,1.3321921763420106,1.3660078792572021,0.22112470865249634
1,10,1.3368537783622743,1.4477424335479736,0.17452096939086914
1,11,1.3231261286735534,1.3706763401031494,0.2184627652168274
1,12,1.292789146900177,1.3048677024841309,0.2559857964515686
1,13,1.2968330655097962,1.3346175899505615,0.2390228509902954
1,14,1.2935737066268922,1.2937248363494873,0.2623392343521118
1,15,1.2615059547424317,1.3133406257629394,0.25115466117858887
1,16,1.2616534700393678,1.2578078365325929,0.2828185558319092
1,17,1.267179217815399,1.3208736038208009,0.24685949087142944
1,18,1.254605613231659,1.2813367557525634,0.26940274238586426
1,19,1.2266559920310973,1.2984098539352418,0.25966793298721313
1,20,1.2225205817222595,1.289173906326294,0.2649341821670532
1,21,1.2352685866355897,1.2392472438812256,0.29340147972106934
1,22,1.2077366452217102,1.3345589551925658,0.23905622959136963
1,23,1.2450597529411316,1.2081390342712401,0.3111388683319092
1,24,1.225599310874939,1.2413803653717042,0.2921852469444275
1,25,1.198046778678894,1.2015530071258544,0.3148941397666931
1,26,1.2012102603912354,1.1850161561965942,0.3243231773376465
1,27,1.1831589694023132,1.216900712966919,0.3061431050300598
1,28,1.1995305366516114,1.1886123447418213,0.32227271795272827
1,29,1.1758488483428955,1.1946584033966063,0.31882530450820923
1,30,1.1904095444679261,1.1753379344940185,0.3298414945602417
1,31,1.1807741322517395,1.197193998336792,0.31737953424453735
1,32,1.197864776134491,1.2231261234283448,0.30259352922439575
1,33,1.1797669281959533,1.1734885387420655,0.3308960199356079
1,34,1.1741312012672425,1.1743963060379028,0.3303784728050232
1,35,1.1610337266921997,1.1783009929656982,0.328152060508728
1,36,1.18162850856781,1.4113108730316162,0.1952936053276062
1,37,1.1712956686019897,1.1713774471282958,0.3320997357368469
1,38,1.173565855026245,1.1623322286605835,0.33725714683532715
1,39,1.1733372855186461,1.2724000539779663,0.27449822425842285
1,40,1.1600528130531311,1.1606268558502197,0.3382294774055481
1,41,1.170308762550354,1.159518527030945,0.33886146545410156
1,42,1.1386018376350402,1.1573627500534058,0.34009069204330444
1,43,1.152717311859131,1.1555088539123535,0.341147780418396
1,44,1.1377597312927246,1.200946641921997,0.3152398467063904
1,45,1.1347634329795837,1.1625581560134888,0.3371284008026123
