config_id,epoch,train_mse,val_mse,train_r2,val_r2
7,1,6.50965799381523,5.767070708741531,-2.834542375979368,-2.2882894747547478
7,2,1.5503871845496116,1.6349043572224544,0.08673768053880138,0.06780425252347688
7,3,1.3525653384515306,1.4364182333151534,0.20326550004610233,0.18097779678745374
7,4,1.2950893459326702,1.3851269762596483,0.23712198361627412,0.21022323337745563
7,5,1.2659023358972281,1.361173129975202,0.25431471892055146,0.22388132508381287
7,6,1.2450939213719043,1.3439461419217744,0.26657200606990816,0.233703872154711
7,7,1.227203431296828,1.3277930196272503,0.2771104771209367,0.24291411851860556
7,8,1.2151908206973983,1.3202939933014073,0.2841865576820686,0.24718994078324352
7,9,1.2031311602967878,1.3125593203439876,0.2912903531333805,0.2516001249063551
7,10,1.1927406965191871,1.3053330861372452,0.297410901048362,0.2557204055625514
7,11,1.183815556477437,1.3004765372601377,0.30266829363859593,0.25848953036832456
7,12,1.1749304958420912,1.2938407447137208,0.30790207728003294,0.2622731508385858
7,13,1.1690436701800846,1.2885024536114742,0.31136973755994535,0.2653169571886773
7,14,1.1609545427264694,1.2819041013042642,0.31613467329620915,0.26907922984637767
7,15,1.1556357368164059,1.2776757428661705,0.3192677390688081,0.2714901707294848
7,16,1.1498583335982082,1.2731507633133106,0.3226709435819095,0.2740702401249572
7,17,1.143971235910656,1.269296041944407,0.3261387640996536,0.27626813925705285
7,18,1.1377405489252397,1.263176866667362,0.32980897738885273,0.27975719300268964
7,19,1.1324012656561935,1.2591324793228165,0.3329541054388926,0.28206323657464416
7,20,1.1280647331393188,1.2555800060954136,0.33550855879367214,0.28408879875568516
7,21,1.1242220522478532,1.2533922665231811,0.3377721066989062,0.28533621210852866
7,22,1.1196633813934822,1.2493855001095346,0.340457411608294,0.28762080484047203
7,23,1.114939951762191,1.244412202794002,0.3432397683923757,0.2904564976979749
7,24,1.1095492996194471,1.239314934252151,0.3464151555010616,0.2933628769228318
7,25,1.1067279067783125,1.2369062906034387,0.3480771092348668,0.29473624617015004
7,26,1.0986716794085432,1.231607236588617,0.3528226650335362,0.29775768017419
7,27,1.093763493102079,1.2279956279713833,0.3557138535413228,0.29981696038814376
7,28,1.0838811640901664,1.2208683486800855,0.3615350824608069,0.3038808185686387
7,29,1.079961495887147,1.2171701180675563,0.363843980077016,0.3059894892287647
7,30,1.0732695324319739,1.2132186169134869,0.367785910278533,0.3082425706128221
7,31,1.0654523042712654,1.205754374963457,0.3723906825528085,0.312498559394805
7,32,1.0632715667645853,1.2066997214031785,0.3736752554732595,0.3119595383033831
7,33,1.0536033180180453,1.1993343793834632,0.3793703794805945,0.3161591359612873
7,34,1.0516810373176413,1.1990138647270956,0.38050270729431823,0.31634188818061426
7,35,1.0462621709453415,1.196317690258266,0.3836947141177328,0.31787920280283943
7,36,1.0394372781323344,1.1898487926581043,0.3877149469360861,0.32156766250208246
7,37,1.0350095734070257,1.1872760129330422,0.39032310567709094,0.32303461945788325
7,38,1.0297242389054506,1.1838764599024443,0.39343645497082813,0.3249729890416724
7,39,1.024517352625519,1.1803109875155624,0.39650359399814317,0.32700596313102104
7,40,1.017440625995825,1.1737149600128738,0.40067217062237814,0.3307669102231743
7,41,1.01449425975835,1.1705778302004703,0.40240774047927186,0.3325556503763736
7,42,1.0075201374056602,1.1657543381883315,0.40651587760752994,0.3353059266979449
7,43,1.0033462126789936,1.1624496682966494,0.40897454613570094,0.33719019546647
7,44,0.9973311794887,1.1571421075568855,0.4125177276182024,0.3402164798660583
7,45,0.9923765851739852,1.1526578532339846,0.41543625296525,0.3427733284009249
7,46,0.9929632526438668,1.1533298771229026,0.4150906739385166,0.3423901513614336
7,47,0.9871614962835557,1.1490958710322818,0.4185082237759824,0.3448043124437198
7,48,0.9849135324496133,1.146803201675282,0.4198323966571246,0.34611155504511315
7,49,0.9814644237951063,1.145065459292984,0.42186410912306826,0.34710238735394616
7,50,0.9757889127477166,1.1383598058815285,0.4252072936094471,0.3509258413478117
7,51,0.9729024161876255,1.1379288829718515,0.42690759697228187,0.35117154654892424
7,52,0.9730548038674645,1.1377580526406623,0.42681783234617166,0.3512689512121212
7,53,0.9693487469157962,1.1369109123149057,0.42900090132498225,0.3517519767822088
7,54,0.9633027394655719,1.1299476926954657,0.4325623283301182,0.3557222908188139
7,55,0.9699797030475397,1.139282877871496,0.42862923386920304,0.35039952078363856
7,56,0.9594750129624275,1.1288094716216304,0.43481706728781944,0.35637128587472056
7,57,0.9533579878720573,1.1238341692015856,0.4384203275430032,0.3592081220100495
7,58,0.9880444515832246,1.1612992680815473,0.4179881151134546,0.3378461348696997
