split_type,split,rows,MAE,RMSE,R2
random,train,8000,0.8949872255325317,1.1145442825083798,0.26827138662338257
random,val,1000,0.905245840549469,1.133558146300807,0.26734018325805664
random,test,1000,0.869347333908081,1.088212409104818,0.3067595362663269
scaffold,train,8000,0.8378729224205017,1.0478148725046477,0.3613632917404175
scaffold,val,1000,0.8967079520225525,1.124590110282553,0.22921252250671387
scaffold,test,1000,0.8610555529594421,1.0746721455286077,0.26525425910949707
